with,without
-1073741824.0,-1073741824.0
0.0,0.0
0.7040130092948675,0.7040130092948675
1.0762547739222645,1.0762547739222645
1.8214624127000572,1.8214624127000572
2.3485532520338896,2.3485532520338896
3.03853293415159,3.03853293415159
3.6533189260214565,3.6533189260214565
4.0236587978154414,4.0236587978154414
4.515111828818917,4.515111828818917
4.88452099223364,4.584633636884392
4.888502962968534,4.588615607619285
4.913960209048575,4.6140728536993265
5.227623869261927,4.927736513912678
5.135643547742849,4.8357561923936005
5.090214824906773,4.790327469557524
4.995102936520463,4.695215581171214
5.283478290594405,4.983590935245156
4.933135946250743,4.633248590901494
4.991277029781824,4.691389674432576
5.123772506944126,4.823885151594877
4.935479064478761,4.635591709129512
5.062656866691297,4.762769511342048
4.832002601667529,4.5321152463182806
4.86834159564901,4.568454240299761
4.92772203565318,4.627834680303931
5.0944488794796525,4.794561524130404
5.070180025554484,4.770292670205236
5.121059723763949,4.8211723684147
5.077408496371692,4.777521141022444
4.871267539120502,4.571380183771253
5.154384831457621,4.854497476108373
5.064082634343988,4.764195278994739
4.855234373553878,4.555347018204629
5.078596555820888,4.778709200471639
5.273423592790252,4.973536237441003
5.238350506915933,4.938463151566684
5.022460820718891,4.722573465369642
4.945784894048458,4.645897538699209
5.235418347089773,4.935530991740524
4.880021251223273,4.580133895874024
4.831349560997671,4.531462205648422
4.9121264152668775,4.612239059917629
4.917129581316597,4.617242225967348
5.045026819824463,4.745139464475215
4.867374041944033,4.567486686594784
5.035889459184593,4.736002103835344
4.86213346373964,4.562246108390391
5.123317509300297,4.8234301539510485
4.856804640746898,4.556917285397649
5.220887408114261,4.921000052765012
5.277170380397922,4.977283025048673
5.25231374026019,4.952426384910941
5.1546492929079,4.854761937558651
4.98217116341669,4.682283808067441
4.9439111674271885,4.64402381207794
5.243859862356668,4.94397250700742
5.189438224553353,4.889550869204104
5.1350817007266345,4.835194345377386
5.033803173645621,4.7339158182963725
5.196484030007607,4.896596674658358
5.279321365959233,4.979434010609984
5.006586274176127,4.706698918826878
4.960203493616766,4.660316138267517
4.9387949397854864,4.638907584436238
5.005561398870534,4.705674043521285
4.871071760996467,4.571184405647219
5.044642115726358,4.744754760377109
5.053897423601931,4.754010068252683
5.287551428943163,4.987664073593915
5.134800265922433,4.834912910573184
5.012999917275494,4.713112561926246
4.922218680090493,4.6223313247412445
5.211347449018842,4.911460093669593
5.079195978126711,4.779308622777462
4.9212149227105435,4.621327567361295
4.851126119612938,4.551238764263689
5.080510685674137,4.780623330324889
5.159073135114497,4.859185779765248
5.091642877689785,4.791755522340536
5.2073280243642985,4.90744066901505
5.106566657803244,4.806679302453995
5.047495266056842,4.747607910707593
4.829792659028655,4.529905303679406
5.212768426916784,4.9128810715675355
5.19156027623195,4.8916729208827014
5.041449915624446,4.741562560275197
5.038907953283972,4.739020597934723
4.950611471279746,4.6507241159304975
5.151462715274876,4.8515753599256275
4.939760729267484,4.639873373918236
4.843449553034491,4.543562197685242
4.909040811739152,4.609153456389904
5.208794005929715,4.908906650580466
4.924873070351071,4.624985715001822
4.977133414528555,4.677246059179306
5.247990622601694,4.948103267252446
5.227545617378539,4.92765826202929
5.226954325742311,4.927066970393062
5.266904226734525,4.967016871385276
5.199747050374037,4.899859695024788
4.9619959531046804,4.662108597755432
5.053824630349165,4.753937274999917
5.285872681147641,4.985985325798392
5.286211648999935,4.986324293650687
5.217177620574123,4.9172902652248744
4.928996146179027,4.629108790829778
5.166449366255885,4.8665620109066365
5.203300140246039,4.9034127848967906
5.147940309762245,4.848052954412997
5.045472615591472,4.7455852602422235
5.169078525199777,4.869191169850528
5.188670844777709,4.8887834894284605
5.221817046447879,4.92192969109863
5.236707261956519,4.93681990660727
5.010642540200836,4.710755184851587
4.9932299730994165,4.693342617750168
5.1479461118273795,4.848058756478131
5.028411112434453,4.728523757085204
4.9588711369105045,4.658983781561256
4.883890235468036,4.5840028801187875
4.8807857252724824,4.580898369923234
4.929715183272249,4.629827827923
4.883003840266949,4.5831164849177
5.00770945724774,4.707822101898492
5.236959751255101,4.937072395905853
5.257671552456206,4.957784197106958
4.9420546574585495,4.642167302109301
5.097303677580541,4.797416322231292
5.174136205359584,4.874248850010336
5.162187149829453,4.862299794480204
5.1541283788599435,4.854241023510695
5.090221931419557,4.790334576070308
5.04141315740276,4.741525802053511
5.011867790601438,4.7119804352521895
5.292697288735992,4.992809933386743
4.962696580968088,4.662809225618839
4.943755419261044,4.643868063911795
5.0473184870250885,4.74743113167584
5.116968381597882,4.817081026248633
5.0751784510232865,4.775291095674038
5.267022192745691,4.967134837396443
4.912873999445921,4.612986644096672
5.297550712644345,4.997663357295096
5.003106561272627,4.703219205923379
5.181973494037276,4.882086138688027
5.020870415724104,4.720983060374856
5.1444623098962365,4.844574954546988
4.950064468614048,4.6501771132647995
5.186423998072034,4.886536642722786
5.198696448995954,4.8988090936467055
5.078915637440271,4.779028282091022
5.1531881789930525,4.853300823643804
5.142633938758856,4.842746583409608
5.241184213354474,4.9412968580052254
5.184382895573265,4.884495540224016
5.001314052499121,4.701426697149873
5.227454404167122,4.927567048817873
5.195912809006161,4.896025453656912
4.911646547845787,4.611759192496538
5.07634838320989,4.776461027860641
5.03247491747815,4.732587562128901
5.211348522237724,4.911461166888476
5.121954260475224,4.8220669051259755
5.0580516124956665,4.758164257146418
4.835379623628444,4.535492268279195
5.050151097781247,4.750263742431998
5.017822280979938,4.717934925630689
5.220811962492054,4.920924607142806
5.004201109080798,4.704313753731549
4.999650757468528,4.699763402119279
4.829668889164215,4.529781533814966
5.076643055833167,4.7767557004839185
4.963335426940805,4.6634480715915565
5.111010017103737,4.811122661754489
4.9293542769618695,4.629466921612621
5.064981381229347,4.7650940258800984
4.904012455835229,4.60412510048598
5.0220327992804705,4.722145443931222
5.00281782091338,4.7029304655641315
4.839775511517412,4.539888156168163
4.52589669730753,4.940961455926299
3.6637369503297337,4.52982481315732
4.2531367226906545,4.751169775426388
4.814770847245348,4.794094242304563
5.5995963371389035,4.637944431342184
6.037633382484956,4.632196714580059
5.925258098833902,4.989083182439208
6.020198261023207,4.602349468953907
6.0129137286848255,4.97331043343991
5.91279251846735,4.658756165280938
6.045934722603007,4.874051896519959
